IP地址,端口,TLS,数据中心,国家,地区,城市,延迟(ms),TCP延迟(ms),速度(MB/s)
114.201.241.35,32559,True,ICN,KR,Asia Pacific,Seoul,89,,9.85
110.15.126.210,50000,True,ICN,KR,Asia Pacific,Seoul,69,,8.09
210.61.97.241,81,True,KHH,TW,Asia Pacific,Kaohsiung City,53,,7.55
123.111.169.70,8443,True,ICN,KR,Asia Pacific,Seoul,55,,6.52
106.241.78.205,11001,True,NRT,JP,Asia Pacific,Tokyo,127,,6.48
47.76.151.149,29937,True,HKG,HK,Asia Pacific,Hong Kong,16,,6.47
154.218.15.222,8443,True,SJC,US,North America,San Jose,168,,5.91
154.92.9.23,8443,True,SJC,US,North America,San Jose,166,,5.89
156.238.19.174,443,True,SJC,US,North America,San Jose,175,,5.84
154.206.12.247,8443,True,SJC,US,North America,San Jose,155,,5.83
154.198.173.59,2096,True,SJC,US,North America,San Jose,157,,5.82
154.218.15.108,2096,True,SJC,US,North America,San Jose,158,,5.81
154.211.8.95,2087,True,SJC,US,North America,San Jose,171,,5.81
156.238.19.165,2083,True,SJC,US,North America,San Jose,159,,5.79
154.92.9.67,2096,True,SJC,US,North America,San Jose,149,,5.79
156.238.19.17,2096,True,SJC,US,North America,San Jose,177,,5.77
154.206.12.84,2096,True,SJC,US,North America,San Jose,155,,5.76
154.206.12.48,2096,True,SJC,US,North America,San Jose,152,,5.75
154.92.9.190,2087,True,SJC,US,North America,San Jose,170,,5.74
156.238.19.67,2053,True,SJC,US,North America,San Jose,296,,5.73
154.211.8.193,2053,True,SJC,US,North America,San Jose,204,,5.72
154.206.12.186,8443,True,SJC,US,North America,San Jose,158,,5.72
154.218.15.63,2096,True,SJC,US,North America,San Jose,164,,5.71
154.218.15.186,8443,True,SJC,US,North America,San Jose,164,,5.71
154.218.15.22,2087,True,SJC,US,North America,San Jose,246,,5.7
154.211.8.113,2087,True,SJC,US,North America,San Jose,156,,5.7
154.211.8.33,8443,True,SJC,US,North America,San Jose,165,,5.68
154.92.9.72,2083,True,SJC,US,North America,San Jose,156,,5.68
154.92.9.201,2096,True,SJC,US,North America,San Jose,152,,5.68
156.238.19.80,2053,True,SJC,US,North America,San Jose,162,,5.68
58.229.126.162,39870,True,NRT,JP,Asia Pacific,Tokyo,107,,5.68
156.238.18.236,2053,True,SJC,US,North America,San Jose,248,,5.67
156.238.18.160,2096,True,SJC,US,North America,San Jose,199,,5.67
154.206.12.92,2087,True,SJC,US,North America,San Jose,167,,5.67
156.238.19.224,2083,True,SJC,US,North America,San Jose,160,,5.67
154.206.12.30,2096,True,SJC,US,North America,San Jose,156,,5.66
154.211.8.230,443,True,SJC,US,North America,San Jose,203,,5.66
154.198.173.35,443,True,SJC,US,North America,San Jose,212,,5.66
154.198.173.185,2096,True,SJC,US,North America,San Jose,190,,5.66
156.238.18.146,443,True,SJC,US,North America,San Jose,157,,5.65
156.238.19.58,2087,True,SJC,US,North America,San Jose,203,,5.65
154.218.15.137,2087,True,SJC,US,North America,San Jose,235,,5.64
154.92.9.172,2087,True,SJC,US,North America,San Jose,157,,5.64
154.211.8.64,2083,True,SJC,US,North America,San Jose,162,,5.64
156.238.18.214,2083,True,SJC,US,North America,San Jose,159,,5.64
156.238.18.122,2083,True,SJC,US,North America,San Jose,156,,5.64
156.238.18.215,8443,True,SJC,US,North America,San Jose,156,,5.63
154.92.9.39,2096,True,SJC,US,North America,San Jose,176,,5.63
154.206.12.129,2096,True,SJC,US,North America,San Jose,207,,5.63
154.92.9.35,2087,True,SJC,US,North America,San Jose,156,,5.63
154.211.8.167,2053,True,SJC,US,North America,San Jose,187,,5.63
154.218.15.229,8443,True,SJC,US,North America,San Jose,153,,5.63
154.92.9.142,443,True,SJC,US,North America,San Jose,178,,5.62
156.238.19.80,8443,True,SJC,US,North America,San Jose,154,,5.62
156.238.18.101,2083,True,SJC,US,North America,San Jose,289,,5.62
156.238.18.134,2083,True,SJC,US,North America,San Jose,182,,5.62
154.206.12.193,8443,True,SJC,US,North America,San Jose,290,,5.61
154.198.173.106,2053,True,SJC,US,North America,San Jose,294,,5.61
154.211.8.107,2096,True,SJC,US,North America,San Jose,167,,5.6
